Location,Prices_per_year (₦ or $),Bedrooms,Baths,Toilets
Jakande Estate Isolo Lagos,"₦ 700,000",2.0,,
"Charly Boy Axis, Phase 1 Gbagada Lagos","₦ 3,800,000",2.0,3.0,3.0
Obanikoro Shomolu Lagos,"₦ 3,500,000",3.0,4.0,4.0
Gerard Road Ikoyi Lagos,"₦ 9,000,000",3.0,4.0,4.0
Gerard Road Ikoyi Lagos,"₦ 8,000,000",2.0,3.0,3.0
Ikate Lekki Lagos,"₦ 6,500,000",2.0,2.0,3.0
Olowora Ojodu Lagos,"₦ 1,200,000",1.0,0.0,0.0
Off College Road Ogba Lagos,"₦ 2,000,000",3.0,0.0,0.0
Lawanson Surulere Lagos,"₦ 1,500,000",2.0,0.0,0.0
Iwaya Bariga Lagos,"₦ 2,500,000",3.0,0.0,0.0
Berger Ojodu Lagos,"₦ 1,000,000",0.0,0.0,0.0
Oke Ira Ogba Lagos,"₦ 1,600,000",2.0,0.0,0.0
"Ishaga, Lawanson Bus Stop Surulere Lagos","₦ 1,000,000",0.0,0.0,0.0
Palmgroove Shomolu Lagos,"₦ 700,000",1.0,0.0,0.0
Haruna Off College Road Ogba Lagos,"₦ 500,000",0.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 650,000",2.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 12,000,000",4.0,4.0,5.0
Fola Agoro Yaba Lagos,"₦ 700,000",0.0,0.0,0.0
Ikola Ipaja Lagos,"₦ 400,000",2.0,0.0,0.0
"Command, Whitehouse Ipaja Lagos","₦ 400,000",1.0,0.0,0.0
Oke Ira Ogba Lagos,"₦ 2,500,000",2.0,0.0,0.0
Abesan Estate Ipaja Lagos,"₦ 400,000",0.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 350,000",0.0,0.0,0.0
Egbeda Alimosho Lagos,"₦ 500,000",0.0,0.0,0.0
Banana Island Ikoyi Lagos,"₦ 29,000,000",3.0,3.0,3.0
"Pius Eze Estate, Aboru Iyana Ipaja Ipaja Lagos","₦ 300,000",1.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 10,000,000",2.0,2.0,3.0
Off Christ Avenue Off Admiralty Road Lekki Phase 1 Lekki Lagos,"₦ 7,000,000",2.0,2.0,3.0
Freedom Way Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",2.0,2.0,3.0
Lekki Phase 2 Lekki Lagos,"₦ 1,800,000",3.0,3.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 2,000,000",1.0,1.0,1.0
Chevron Lekki Lagos,"₦ 2,200,000",1.0,1.0,1.0
Lekki Lagos,"₦ 1,200,000",0.0,1.0,1.0
Ikate Lekki Ikate Lekki Lagos,"₦ 6,000,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 125,000,000",3.0,3.0,4.0
Inside An Estate Agungi Lekki Agungi Lekki Lagos,"₦ 1,200,000",1.0,1.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 3,000,000",1.0,1.0,2.0
Ajah Lagos,"₦ 750,000",1.0,1.0,2.0
Ikate Lekki Lagos,"₦ 1,000,000",0.0,1.0,1.0
Lekki Phase 1 Lekki Lagos,"₦ 2,500,000",1.0,1.0,1.0
Oniru Victoria Island Lagos,"₦ 3,000,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Lekki Phase 1 Lekki Lagos,"₦ 1,800,000",1.0,1.0,1.0
Banana Island Ikoyi Lagos,"₦ 12,000,000",2.0,2.0,3.0
Banana Island Ikoyi Lagos,"₦ 20,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 4,500,000",1.0,1.0,2.0
Jakande Lekki Lagos,"₦ 2,700,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 2,000,000",2.0,2.0,3.0
Chevron Lekki Lagos,"₦ 4,500,000",3.0,3.0,4.0
Jakande Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"₦ 25,000,000",6.0,6.0,7.0
Lekki Phase 1 Lekki Lagos,"₦ 10,000,000",3.0,3.0,4.0
Chevron Lekki Lagos,"₦ 1,500,000",0.0,1.0,1.0
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"₦ 8,000,000",4.0,4.0,5.0
Banana Island Ikoyi Lagos,"₦ 15,000,000",1.0,1.0,1.0
Off Ozumba Mbadiwe Victoria Island Lagos,"₦ 10,000,000",4.0,4.0,5.0
Lekki Phase 1 Lekki Lagos,"₦ 2,500,000",0.0,1.0,1.0
Lekki Phase 2 Lekki Lagos,"₦ 1,100,000",0.0,1.0,1.0
Chevron Lekki Lagos,"₦ 3,250,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 1,200,000",0.0,1.0,1.0
Chevron Lekki Lagos,"₦ 2,000,000",1.0,1.0,1.0
Off Morroco Fola Agoro Yaba Lagos,"₦ 200,000",1.0,2.0,2.0
Shomolu Lagos,"₦ 700,000",0.0,0.0,0.0
Oniru Victoria Island Lagos,"₦ 5,000,000",1.0,2.0,2.0
Onike Iwaya Yaba Lagos,"₦ 700,000",0.0,0.0,0.0
Jacob Onipanu Shomolu Lagos,"₦ 800,000",0.0,0.0,0.0
Abule Oja Yaba Lagos,"₦ 750,000",0.0,0.0,0.0
Millenuim Ups Gbagada Lagos,"₦ 3,500,000",2.0,0.0,0.0
Orchid Lekki Lagos,"₦ 2,200,000",1.0,1.0,1.0
Ikoyi Lagos,"$ 85,000",3.0,,
Royal Pine Estate Orchid Lekki Lagos,"₦ 4,300,000",1.0,1.0,2.0
Maple Signatures Estate Orchid Road Lekki Lagos,"₦ 950,000",1.0,1.0,1.0
Bakare Estate Agungi Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Command Ipaja Gan Gan Abule Egba Abule Egba Lagos,"₦ 1,000,000",2.0,2.0,2.0
Thomas Estate Ajah Lagos,"₦ 1,000,000",1.0,2.0,1.0
Victoria Island Lagos,"₦ 11,000,000",2.0,2.0,3.0
Adeola Odeku Victoria Island Lagos,"₦ 17,000,000",3.0,3.0,3.0
Estate Osapa London Osapa London Lekki Lagos,"₦ 2,500,000",,2.0,3.0
"Off Herbert Macaulay Way, Yaba, Lagos Yaba Lagos","₦ 1,500,000",1.0,1.0,2.0
Agungi Lekki Lagos,"₦ 3,500,000",3.0,3.0,4.0
Off Admirathy Way Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"₦ 1,700,000",1.0,1.0,1.0
"Adebola Ojomu Str, Surulere Lagos","₦ 1,500,000",2.0,2.0,2.0
Isheri Oshun Bus Stop Bucknor Isolo Lagos,"₦ 850,000",2.0,2.0,3.0
Bucknor Estate Isolo Lagos,"₦ 1,300,000",3.0,3.0,4.0
Isheri Oshun Bucknor Isolo Lagos,"₦ 850,000",2.0,2.0,3.0
Ijegun Bucknor Isolo Lagos,"₦ 600,000",1.0,1.0,1.0
Eko Atlantic Victoria Island Lagos,"₦ 250,000",3.0,3.0,4.0
Divine Avenue Bucknor Isolo Lagos,"₦ 1,000,000",1.0,1.0,2.0
Isheri Oshun Bucknor Isolo Lagos,"₦ 950,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 5,000,000",3.0,3.0,4.0
Ikate Lekki Ikate Lekki Lagos,"₦ 6,000,000",2.0,3.0,3.0
Goverment Housing Estate Sangotedo Monastery Road Shoprite Sangotedo Ajah Lagos,"₦ 1,800,000",1.0,1.0,1.0
Eleganza Gardens Vgc Lekki Lagos,"₦ 2,000,000",2.0,2.0,3.0
Eleganza Gardens At Vgc Bus Stop Lekki Lagos,"₦ 750,000",,,
Thomas Estate Ajah Lagos,"₦ 700,000",1.0,1.0,1.0
Royal Pine Estate Orchid Chevron Lekki Lagos,"₦ 800,000",1.0,1.0,1.0
This Property Is Located Within A Fully Serviced Estate Ikate Lekki Lagos,"₦ 5,500,000",3.0,3.0,4.0
"Oba Elegushi Housing Estate, Mobil Road Ilaje Ajah Lagos","₦ 300,000",1.0,1.0,1.0
Osapa London Lekki Lagos,"₦ 900,000",1.0,1.0,1.0
