Location,Prices_per_year (₦ or $),Bedrooms,Baths,Toilets
"Thomas Animashahun Str, Aguda Surulere Lagos","₦ 2,500,000",2.0,3.0,3.0
Ikate Lekki Lagos,"₦ 1,300,000",0.0,1.0,1.0
Lekki Lagos,"₦ 600,000",0.0,1.0,1.0
Eleguishi World Oil Ilasan Salem Ikate Lekki Lagos,"₦ 2,500,000",3.0,3.0,4.0
Chevron Lekki Lagos,"₦ 2,600,000",3.0,3.0,4.0
Chevron Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Ikate Lekki Lagos,"₦ 1,500,000",,1.0,1.0
Ologolo Lekki Lagos,"₦ 4,500,000",3.0,3.0,4.0
Lekki Lagos,"₦ 8,000,000",0.0,0.0,0.0
Off Alfred Rewane Road Ikoyi Lagos,"₦ 13,000,000",3.0,2.0,4.0
Victoria Island Lagos,"₦ 15,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 1,800,000",0.0,1.0,1.0
Millenuim Ups Gbagada Lagos,"₦ 3,500,000",2.0,3.0,3.0
Opposite Elevation Church Nicontown Ikate Lekki Lagos,"₦ 1,500,000",0.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 7,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 1,200,000",,1.0,1.0
Lekki Phase 1 Lekki Lagos,"₦ 10,000,000",3.0,4.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 8,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 10,000,000",3.0,3.0,4.0
Ologolo Lekki Lagos,"₦ 1,500,000",0.0,1.0,1.0
Chevron Lekki Lagos,"₦ 1,200,000",0.0,1.0,1.0
Agungi Lekki Lagos,"₦ 800,000",,1.0,1.0
Orchid Lekki Lagos,"₦ 3,500,000",2.0,2.0,3.0
Chevron Lekki Lagos,"₦ 1,000,000",0.0,1.0,1.0
Hakeem Dickson Lekki Phase 1 Lekki Lagos,"₦ 2,200,000",1.0,1.0,2.0
Ikate Lekki Lagos,"₦ 3,000,000",2.0,2.0,3.0
Parkview Estate Ikoyi Lagos,"₦ 14,000,000",0.0,0.0,0.0
Chevron Lekki Lagos,"₦ 3,200,000",3.0,3.0,4.0
Agungi Lekki Lagos,"₦ 800,000",0.0,1.0,1.0
Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Adeola Odeku Victoria Island Lagos,"₦ 17,000,000",3.0,3.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 12,000,000",2.0,2.0,3.0
Osapa London Lekki Lagos,"₦ 800,000",0.0,1.0,1.0
Badore Ajah Lagos,"₦ 1,100,000",0.0,0.0,0.0
Ikate Lekki Lagos,"₦ 6,000,000",0.0,0.0,0.0
"Omilani Ijesha, Ijesha Surulere Lagos","₦ 1,500,000",2.0,3.0,3.0
"Off Adekunle Kuye Str, Aguda Surulere Lagos","₦ 2,000,000",3.0,4.0,4.0
Ikate Lekki Lagos,"₦ 1,200,000",,1.0,1.0
Ikate Lekki Lagos,"₦ 1,300,000",,1.0,1.0
Victoria Island Lagos,"₦ 1,700,000",0.0,1.0,1.0
Close To Nnpc Guzape Abuja,"₦ 500,000,000",6.0,6.0,7.0
Jakande Lekki Lagos,"₦ 1,300,000",1.0,1.0,2.0
Chevron Lekki Lagos,"₦ 1,700,000",1.0,1.0,1.0
Osapa London Lekki Lagos,"₦ 4,500,000",1.0,1.0,1.0
Agungi Lekki Lagos,"₦ 3,300,000",3.0,3.0,4.0
Iwaya Yaba Lagos,"₦ 2,000,000",3.0,4.0,4.0
Badore Ajah Lagos,"₦ 900,000",1.0,0.0,2.0
Chevron Lekki Lagos,"₦ 2,700,000",3.0,3.0,3.0
Chevron Lekki Lagos,"₦ 1,000,000",1.0,1.0,1.0
Badore Ajah Lagos,"₦ 650,000",1.0,,
Oniru Victoria Island Lagos,"₦ 5,000,000",1.0,1.0,1.0
"Salem, Ikate Lekki Lagos","₦ 2,200,000",0.0,1.0,1.0
Ikate Lekki Lagos,"₦ 6,500,000",2.0,2.0,3.0
Ilasan Salem Ikate Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Off Hotel Bus Stop Bucknor Isolo Lagos,"₦ 800,000",2.0,3.0,3.0
Off Hotel Bus Stop Bucknor Isolo Lagos,"₦ 700,000",1.0,2.0,2.0
Macdonald Court Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",4.0,5.0,5.0
Ologolo Lekki Lagos,"₦ 2,300,000",3.0,3.0,4.0
Iyana Ipaja Ipaja Lagos,"₦ 500,000",1.0,1.0,1.0
Sangotedo Ajah Lagos,"₦ 1,500,000",2.0,2.0,2.0
Ic Gray Apartment Along Lekki Expressway Lekki Lagos,"₦ 3,000,000",2.0,2.0,3.0
Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 8,000,000",3.0,3.0,3.0
Ajao Estate Isolo Lagos,"₦ 800,000",1.0,1.0,1.0
Idado Lekki Lagos,"₦ 4,000,000",3.0,3.0,3.0
Alagomeji Yaba Lagos,"₦ 3,500,000",0.0,0.0,0.0
Ikate Lekki Lagos,"₦ 8,500,000",2.0,2.0,3.0
"Idado Estate, Igbo Efon Lekki Lagos","₦ 3,500,000",2.0,3.0,3.0
Ligali Ayorinde Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
Ligali Ayorinde Victoria Island Lagos,"₦ 12,000,000",3.0,3.0,4.0
Western Avenue Surulere Lagos,"₦ 1,500,000",0.0,0.0,0.0
Cooperative Villa Estate Badore Ajah Lagos,"₦ 2,500,000",3.0,3.0,4.0
Abaranje Abaranje Ikotun Igando Lagos,"₦ 400,000",0.0,0.0,0.0
Orchid Road Chevron Lekki Lagos,"₦ 1,600,000",1.0,1.0,1.0
Ibeju Lekki Lagos,"₦ 400,000",,1.0,1.0
Oral Estate 2nd Toll Gate Chevron Along Lekki Expressway Lekki Lagos,"₦ 3,500,000",3.0,4.0,4.0
Victoria Island Lagos,"₦ 15,000,000",3.0,3.0,3.0
"3rd Avenue, Banana Island Ikoyi Lagos","₦ 15,000,000",3.0,3.0,4.0
Serene Estate Ologolo Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Olokonla Ajah Lagos,"₦ 2,200,000",2.0,2.0,3.0
Awoyaya Ajah Lagos,"₦ 900,000",1.0,1.0,1.0
Old Ikoyi Ikoyi Lagos,"₦ 16,000,000",4.0,4.0,4.0
Around The Local Government Office Axis Igbo Efon Lekki Lagos,"₦ 1,300,000",1.0,1.0,1.0
Ikate Lekki Lagos,"₦ 6,000,000",2.0,3.0,3.0
Medina Gbagada Lagos,"₦ 3,500,000",4.0,3.0,3.0
Ilasan Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Itele Close To Ayobo Lagos Ayobo Ipaja Lagos,"₦ 200,000",2.0,2.0,2.0
Ajao Estate Isolo Lagos,"₦ 1,200,000",2.0,2.0,2.0
Aguda Surulere Lagos,"₦ 1,800,000",0.0,0.0,0.0
Itele Close To Ayobo Ipaja Lagos,"₦ 150,000",1.0,1.0,1.0
Ikota Lekki Lagos,"₦ 2,000,000",2.0,2.0,3.0
Central Ikoyi Ikoyi Lagos,"$ 99,500",4.0,4.0,5.0
"Beside Mayfair Gardens, Awoyaya Ajah Lagos","₦ 1,000,000",2.0,2.0,3.0
Owolowo Street Ikorodu Lagos,"₦ 1,000,000",2.0,2.0,3.0
Itele Close To Ayobo Ipaja Lagos,"₦ 250,000",1.0,1.0,1.0
Olokonla Ajah Lagos,"₦ 2,000,000",3.0,3.0,4.0
Ikoyi Lagos,"₦ 13,000,000",3.0,3.0,4.0
Ajao Estate Isolo Lagos Mainland Isolo Lagos,"₦ 2,000,000",3.0,3.0,3.0
Surulere Lagos,"₦ 3,000,000",0.0,0.0,0.0
Abule Egba Lagos,"₦ 230,000",1.0,1.0,1.0
Abule Egba Lagos,"₦ 450,000",1.0,1.0,1.0
Ikate Lekki Lagos,"₦ 5,000,000",3.0,3.0,4.0
Off Freedom Way Ikate Lekki Lagos,"₦ 2,500,000",,,
Lekki County Homes Ikota Lekki Lagos,"₦ 900,000",1.0,1.0,1.0
Ikota Lekki Lagos,"₦ 1,500,000",1.0,1.0,2.0
Ologolo Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
"Royal Pine Estate, Orchid Road Ikota Lekki Lagos","₦ 2,100,000",1.0,1.0,2.0
Chevy View Estate Chevron Lekki Lagos,"₦ 1,000,000",1.0,1.0,1.0
Orchid Road Chevron Lekki Lagos,"₦ 3,200,000",2.0,2.0,3.0
Ikate Ilasan Lekki Lagos,"₦ 4,500,000",2.0,3.0,3.0
Ajao Estate Isolo Lagos,"₦ 1,000,000",3.0,2.0,2.0
Jolade Ayoola Off Moshalashi Road Ikotun Igando Lagos,"₦ 700,000",2.0,3.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 7,000,000",2.0,2.0,3.0
Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 1,600,000",1.0,1.0,1.0
Ajao Estate Isolo Lagos,"₦ 1,000,000",1.0,1.0,2.0
Abule Egba Lagos,"₦ 700,000",1.0,1.0,1.0
Off Ogunlana Drive Surulere Lagos,"₦ 2,500,000",2.0,2.0,2.0
Adeola Hopewell Victoria Island Lagos,"₦ 12,000,000",3.0,4.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 6,500,000",3.0,3.0,4.0
Chevy View Estate Chevron Lekki Lagos,"₦ 900,000",1.0,1.0,0.0
Old Ikoyi Ikoyi Lagos,"₦ 40,000,000",3.0,3.0,4.0
Beside Blenco Olokonla Ajah Lagos,"₦ 650,000",1.0,1.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 12,500,000",2.0,2.0,3.0
Abule Egba Lagos,"₦ 130,000",1.0,1.0,1.0
Ilasan Lekki Lagos,"₦ 1,600,000",1.0,1.0,2.0
Rso Itele Close To Ayobo Ipaja Lagos,"₦ 500,000",2.0,2.0,2.0
Gowon Estate Egbeda Alimosho Lagos,"₦ 1,200,000",1.0,2.0,2.0
Phase 1 Ilasan Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Ikota Villa Estate By Mega Chicken Lekki Lagos,"₦ 3,500,000",3.0,3.0,4.0
Sangotedo Ajah Lagos,"₦ 1,700,000",3.0,3.0,4.0
Atlantic Beach Estate New Road Lekki Lagos,"₦ 2,800,000",2.0,2.0,3.0
Cooperative Villa Estate Badore Ajah Lagos,"₦ 2,500,000",3.0,3.0,4.0
Itele Close To Ayobo Ipaja Lagos,"₦ 130,000",1.0,1.0,1.0
Ikoyi Lagos,"₦ 30,000,000",4.0,4.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 4,000,000",3.0,3.0,4.0
Mojisola Onikoyi Estate Ikoyi Lagos,"$ 50,000",4.0,4.0,4.0
Victoria Island Lagos,"₦ 25,000,000",3.0,3.0,4.0
Itele Close To Ayobo Ipaja Lagos,"₦ 130,000",1.0,1.0,1.0
Ikota Lekki Lagos,"₦ 2,200,000",2.0,2.0,3.0
Chevron Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Marwa Lekki Right Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Aguda Surulere Lagos,"₦ 3,500,000",3.0,3.0,3.0
Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
"Banana Island Road, Ikoyi Lagos","₦ 25,000,000",3.0,3.0,4.0
Ikoyi Lagos,"₦ 35,000,000",4.0,4.0,5.0
Victoria Island Lagos,"₦ 15,000,000",3.0,3.0,4.0
"Asa Estate, Soluyi Gbagada Lagos","₦ 4,000,000",4.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 8,000,000",3.0,3.0,4.0
Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
"Elf Bus Stop, Lekki Lagos","₦ 2,000,000",0.0,0.0,0.0
Soluyi Gbagada Lagos,"₦ 3,000,000",3.0,3.0,3.0
Ilaje Ajah Lagos,"₦ 900,000",1.0,1.0,1.0
Millenuim Ups Gbagada Lagos,"₦ 3,000,000",2.0,2.0,2.0
Off Coker Road Ilupeju Industrial Estate Ilupeju Lagos,"₦ 4,500,000",2.0,2.0,3.0
Itele Close To Ayobo Lagos Ayobo Ipaja Lagos,"₦ 400,000",3.0,3.0,3.0
Maruwa Side Lekki Phase 1 Lekki Lagos,"₦ 7,000,000",3.0,3.0,4.0
"Beside Blenco Mall, Olokonla Ajah Lagos","₦ 1,500,000",2.0,2.0,3.0
Onosa Ibeju Lekki Lagos,"₦ 250,000",1.0,1.0,1.0
Akowonjo Egbeda Alimosho Lagos,"₦ 2,000,000",3.0,3.0,3.0
Itele Close To Ayobo Lagos Ayobo Ipaja Lagos,"₦ 200,000",1.0,1.0,1.0
Itele Close To Ayobo Ipaja Lagos,"₦ 150,000",1.0,2.0,2.0
Ikate Lekki Lagos,"₦ 6,000,000",2.0,3.0,3.0
Itele Close To Ayobo Ipaja Lagos,"₦ 250,000",1.0,1.0,1.0
Christ Avenue Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 7,000,000",2.0,2.0,2.0
Ikate Lekki Lagos,"₦ 2,000,000",2.0,2.0,2.0
Opposite Ss Philip And James Catholic Church Chevron Lekki Lagos,"₦ 3,000,000",2.0,2.0,3.0
Itele Close To Ayobo Lagos Ayobo Ipaja Lagos,"₦ 400,000",4.0,4.0,4.0
Ademola Adetokunbo Victoria Island Lagos,"₦ 15,000,000",3.0,4.0,4.0
Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 5,500,000",3.0,3.0,4.0
Abule Egba Lagos,"₦ 400,000",1.0,1.0,1.0
Nasfat Street Igbogbo Ikorodu Lagos,"₦ 800,000",5.0,5.0,6.0
Abule Egba Lagos,"₦ 350,000",1.0,1.0,1.0
New Road Before Chevron Traffic Light Igbo Efon Lekki Lagos,"₦ 3,000,000",2.0,2.0,3.0
Oba Amusa Estate Agungi Lekki Lagos,"₦ 900,000",1.0,1.0,1.0
"Aladura Estate, Anthony Village Maryland Lagos","₦ 3,000,000",2.0,2.0,3.0
Off Admirathy Way Lekki Phase 1 Lekki Lagos,"₦ 2,300,000",1.0,1.0,1.0
Ajao Estate Isolo Lagos,"₦ 1,000,000",1.0,2.0,2.0
Thomas Estate Ajah Lagos,"₦ 500,000",1.0,1.0,1.0
Maple Signatures Estate Orchid Road Lekki Lagos,"₦ 1,200,000",1.0,1.0,1.0
Off Coker Road Ilupeju Ilupeju Industrial Estate Ilupeju Lagos,"₦ 2,500,000",2.0,2.0,2.0
"Off Soluy Street, Gbagada Ifako Gbagada Gbagada Lagos","₦ 4,000,000",4.0,4.0,4.0
Camberwall Estate Abijo Ajah Lagos,"₦ 1,500,000",2.0,2.0,3.0
Ajiran News Estate Near Northern Foreshore Gate Chevron Lekki Lagos,"₦ 3,000,000",3.0,3.0,3.0
Abule Egba Lagos,"₦ 400,000",1.0,1.0,1.0
Ado Road Ajah Lagos,"₦ 700,000",2.0,2.0,3.0
Adeola Odeku Victoria Island Lagos,"₦ 18,000,000",3.0,3.0,3.0
Ajao Estate Isolo Lagos,"₦ 800,000",1.0,1.0,1.0
"Royal Pine Estate, Orchid Ikota Lekki Lagos","₦ 700,000",1.0,1.0,1.0
Old Ikoyi Ikoyi Lagos,"₦ 60,000,000",3.0,4.0,4.0
Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 2,500,000",1.0,1.0,1.0
Sangotedo Ajah Lagos,"₦ 800,000",1.0,1.0,2.0
Pa Olukayode Olugbode Str Igbogbo Ikorodu Lagos,"₦ 350,000",3.0,3.0,4.0
Soluyi Gbagada Lagos,"₦ 3,000,000",3.0,3.0,3.0
Estate Sangotedo Ajah Lagos,"₦ 2,000,000",3.0,3.0,4.0
"Off Toyin Street, Ikeja Lagos","₦ 2,500,000",3.0,3.0,3.0
Ikeja Gra Ikeja Lagos,"₦ 1,300,000,000",,,
Abule Egba Lagos,"₦ 350,000",1.0,1.0,1.0
Ajao Estate Isolo Lagos,"₦ 2,000,000",3.0,3.0,4.0
Itele Close To Ayobo Lagos Ayobo Ipaja Lagos,"₦ 130,000",1.0,1.0,1.0
Itele Close To Ayobo Lagos Ayobo Ipaja Lagos,"₦ 300,000",2.0,2.0,2.0
Itele Close To Ayobo Lagos Ayobo Ipaja Lagos,"₦ 100,000",1.0,1.0,1.0
Freedom Estate Igbogbo Ikorodu Lagos,"₦ 600,000",2.0,2.0,3.0
Victoria Island Lagos,"₦ 12,000,000",3.0,3.0,0.0
Ikate Lekki Lagos,"₦ 10,000,000",4.0,4.0,5.0
Banana Island Ikoyi Lagos,"₦ 15,000,000",2.0,2.0,3.0
Oniru Victoria Island Lagos,"₦ 10,000,000",3.0,4.0,4.0
Vip Estate Baruwa Ayobo Ipaja Lagos,"₦ 2,500,000",4.0,4.0,5.0
Sabo Yaba Lagos,"₦ 1,400,000",0.0,2.0,2.0
Ajao Estate Isolo Lagos,"₦ 1,500,000",3.0,3.0,3.0
Agungi Lekki Lagos,"₦ 3,000,000",2.0,2.0,3.0
Ologolo Lekki Lagos,"₦ 2,000,000",2.0,2.0,3.0
Golden Green Estate At Itele Close To Ayobo Ipaja Lagos,"₦ 300,000",2.0,2.0,3.0
Millennium Estate Millenuim Ups Gbagada Lagos,"₦ 3,500,000",3.0,2.0,2.0
Orchid Road Chevron Lekki Lagos,"₦ 1,000,000",1.0,1.0,1.0
Off Olufemi Pedro Parkview Estate Ikoyi Lagos,"₦ 7,000,000",3.0,3.0,4.0
Ikeja Gra Ikeja Lagos,"₦ 6,500,000",0.0,0.0,0.0
Banana Island Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Osapa London Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Agunfoye Igbogbo Ikorodu Lagos,"₦ 200,000",1.0,1.0,2.0
Conservation Center Chevron Lekki Lagos,"₦ 1,200,000",1.0,1.0,1.0
Alpha Beach New Road Igbo Efon Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Aiyetoro Close To Ayobo Ipaja Lagos,"₦ 150,000",1.0,1.0,1.0
Itele Close To Ayobo Ipaja Lagos,"₦ 200,000",1.0,2.0,2.0
Ilasan Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
London Eputu Ibeju Lekki Lagos,"₦ 1,000,000",2.0,2.0,2.0
Vip Estate Baruwa Ipaja Lagos,"₦ 1,200,000",2.0,3.0,3.0
Itele Close To Ayobo Ipaja Lagos,"₦ 130,000",1.0,1.0,1.0
Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",3.0,4.0,4.0
Blue Waters Oniru Victoria Island Lagos,"₦ 15,000,000",2.0,2.0,2.0
Oke Afa Isolo Lagos,"₦ 200,000",1.0,1.0,1.0
Igbo Efon Lekki Lagos,"₦ 1,200,000",1.0,1.0,1.0
Osapa London Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Maternity Igbogbo Ikorodu Lagos,"₦ 400,000",2.0,2.0,3.0
Iyana Ipaja Ipaja Lagos,"₦ 500,000",1.0,1.0,1.0
Ikota Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Oba Musa Estate Off Ajiran Road Agungi Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Thomas Estate Ajah Lagos,"₦ 2,500,000",3.0,3.0,4.0
Parkview Estate Ikoyi Lagos,"₦ 7,000,000",3.0,3.0,3.0
Ologolo Lekki Lagos,"₦ 2,000,000",2.0,2.0,2.0
Odudu Avenue Igbogbo Ikorodu Lagos,"₦ 800,000",2.0,2.0,3.0
Ilasan Lekki Lagos,"₦ 2,000,000",2.0,2.0,3.0
Orchid Road Chevron Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Ajao Estate Isolo Lagos,"₦ 1,200,000",3.0,2.0,2.0
Off Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 1,700,000",1.0,1.0,1.0
Lekki County Homes Ikota Lekki Lagos,"₦ 1,750,000",1.0,1.0,1.0
Omo Mummy Agunfoye Igbogbo Ikorodu Lagos,"₦ 350,000",2.0,2.0,3.0
Alagutan Iyana Ipaja Iyana Ipaja Ipaja Lagos,"₦ 1,500,000",4.0,4.0,4.0
Ikolaba Gra Bodija Ibadan Oyo,"₦ 20,000",1.0,1.0,1.0
Maternity Bus Stop Igbogbo Ikorodu Lagos,"₦ 120,000",1.0,1.0,1.0
Ogudu Gra Ogudu Lagos,"₦ 1,500,000",0.0,0.0,0.0
Abule Egba Lagos,"₦ 400,000",1.0,1.0,1.0
Patrick Eyo Str Igbogbo Ikorodu Lagos,"₦ 500,000",3.0,3.0,3.0
Oke Ira Ogba Lagos,"₦ 1,000,000",2.0,2.0,2.0
Allen Avenue Ikeja Lagos,"₦ 1,500,000",1.0,1.0,1.0
Ajao Estate Isolo Lagos,"₦ 900,000",1.0,1.0,2.0
Ilupeju Industrial Estate Ilupeju Lagos,"₦ 3,000,000",1.0,1.0,2.0
Maruwa Lekki Phase 1 Lekki Lagos,"₦ 2,000,000",1.0,1.0,1.0
Ajiran News Estate Agungi Lekki Lagos,"₦ 750,000",1.0,1.0,1.0
Emily Boundary Igbogbo Ikorodu Lagos,"₦ 400,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",3.0,4.0,4.0
Aguda Surulere Lagos,"₦ 1,300,000",0.0,0.0,0.0
Ajao Estate Isolo Lagos,"₦ 600,000",1.0,1.0,2.0
Igbo Efon Lekki Lagos,"₦ 500,000",1.0,1.0,1.0
Igbo Efon Igbo Efon Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
"Hossana Estate, By Zion, Ago Palace Way, Okota Isolo Lagos","₦ 1,200,000",1.0,1.0,2.0
"Gowon Estate, Egbeda Alimosho Lagos","₦ 400,000",0.0,1.0,1.0
Ajao Estate Isolo Lagos,"₦ 600,000",1.0,1.0,1.0
Ologolo Lekki Lagos,"₦ 2,300,000",3.0,3.0,4.0
Ajao Estate Isolo Lagos,"₦ 1,500,000",3.0,3.0,4.0
Ajao Estate Isolo Lagos,"₦ 1,500,000",3.0,3.0,3.0
Ologolo Lekki Lagos,"₦ 3,200,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 14,000,000",2.0,2.0,3.0
Banana Island Ikoyi Lagos,"₦ 35,000,000",3.0,4.0,4.0
Blue Water Oniru Victoria Island Lagos,"₦ 10,000,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 8,000,000",3.0,3.0,4.0
Aguda Surulere Lagos,"₦ 2,500,000",3.0,3.0,3.0
Ikoyi Lagos,"₦ 13,000,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 12,000,000",3.0,3.0,4.0
Off Admiralty Road Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Oniru Victoria Island Lagos,"₦ 10,000,000",3.0,4.0,4.0
Ancestors Court Bourdillon Ikoyi Lagos,"₦ 8,000,000",3.0,3.0,3.0
Bluewaters Apartment Oniru Victoria Island Lagos,"₦ 10,000,000",2.0,2.0,3.0
Badore Ajah Lagos,"₦ 1,200,000",3.0,3.0,4.0
Mojisola Onikoyi Estate Ikoyi Lagos,"$ 25,000",3.0,3.0,3.0
"Abraham Adesanya Road, Ajiwe Ajah Lagos","₦ 2,500,000",3.0,3.0,3.0
Iyana Ipaja Ipaja Lagos,"₦ 600,000",1.0,2.0,2.0
Shomolu Lagos,"₦ 1,200,000",0.0,0.0,0.0
Ikate Lekki Lagos,"₦ 6,500,000",2.0,2.0,2.0
Ilasan Lekki Lagos,"₦ 3,000,000",3.0,3.0,3.0
Royal Pine Estate Orchid Chevron Lekki Lagos,"₦ 800,000",1.0,1.0,1.0
Marwa Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",3.0,4.0,4.0
Osapa London Lekki Lagos,"₦ 4,500,000",1.0,1.0,1.0
Ocean Bay Estate Orchid Road Lekki Lagos,"₦ 5,500,000",2.0,2.0,2.0
Opebi Ikeja Lagos,"₦ 2,500,000",,2.0,3.0
Otunba Jobe Feel Way Alausa Ikeja Lagos,"₦ 2,000,000",3.0,3.0,3.0
Oniru Victoria Island Lagos,"₦ 6,000,000",3.0,3.0,3.0
Chevron Ikota Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Gordon Ilodianya Close Lekki Right Oniru Victoria Island Lagos,"₦ 5,000,000",2.0,2.0,2.0
Chevy View Estate Chevron Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Ikate Lekki Lagos,"₦ 95,000,000",2.0,2.0,3.0
Itele Close To Ayobo Ipaja Lagos,"₦ 180,000",2.0,1.0,1.0
Moses Str Macaulay Igbogbo Ikorodu Lagos,"₦ 150,000",1.0,1.0,1.0
Millenuim Ups Gbagada Lagos,"₦ 2,300,000",0.0,0.0,0.0
Ajose Victoria Island Extension Victoria Island Lagos,"₦ 10,000,000",2.0,3.0,3.0
Ikota Gra Lekki Lagos,"₦ 3,500,000",2.0,2.0,3.0
Emcel Court Estate Orchid Road Lekki Lagos,"₦ 1,800,000",1.0,1.0,1.0
Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Idado Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
"Off Oba Yusuf Abiodun Street, Oniru Victoria Island Lagos","₦ 5,000,000",2.0,2.0,2.0
Blue Waters Apartments Oniru Victoria Island Lagos,"₦ 10,000,000",2.0,2.0,2.0
Eti Osa Igbo Efon Lekki Lagos,"₦ 2,200,000",2.0,2.0,3.0
"Reddington Road, Close To Lbs Olokonla Ajah Lagos","₦ 1,700,000",2.0,2.0,3.0
Island Close Fawole Igbogbo Ikorodu Lagos,"₦ 100,000",1.0,1.0,1.0
Ikota Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Iyana Ipaja Ipaja Lagos,"₦ 150,000",1.0,1.0,1.0
Lagos Mainland Oke Afa Isolo Lagos,"₦ 200,000",1.0,1.0,1.0
Chisco Ikate Lekki Lagos,"₦ 2,800,000",2.0,2.0,3.0
Orchid Road Ikota Lekki Lagos,"₦ 2,000,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 15,000,000",2.0,2.0,3.0
Ajao Estate Isolo Lagos,"₦ 2,000,000",3.0,3.0,3.0
Sangotedo Ajah Lagos,"₦ 1,200,000",2.0,2.0,3.0
Aiyetoro Close To Ayobo Ipaja Lagos,"₦ 500,000",2.0,3.0,3.0
Adekunle Yaba Lagos,"₦ 2,000,000",2.0,0.0,0.0
Itele Close To Ayobo Ipaja Lagos,"₦ 180,000",2.0,2.0,2.0
Awoyaya Ajah Lagos,"₦ 600,000",0.0,1.0,1.0
Estate Osapa London Lekki Lagos,"₦ 2,500,000",3.0,3.0,4.0
Ologolo Lekki Lagos,"₦ 2,300,000",1.0,1.0,2.0
Olokonla Ajah Lagos,"₦ 1,700,000",2.0,2.0,3.0
Itele Close To Ayobo Ipaja Lagos,"₦ 250,000",2.0,2.0,2.0
Olugbode Close To Ayobo Ipaja Lagos,"₦ 300,000",1.0,1.0,1.0
Morekete Igbogbo Ikorodu Lagos,"₦ 700,000",3.0,3.0,4.0
Oluwakayode Jacob's Crescent Lekki Phase 1 Lekki Lagos,"₦ 3,500,000",0.0,0.0,0.0
Ologolo Lekki Lagos,"₦ 2,000,000",1.0,1.0,2.0
Chsico Bustop Ikate Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Ajao Estate Isolo Lagos,"₦ 2,000,000",3.0,3.0,4.0
